,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BNR,BOB,BOCH,BNR,BOB,BOCH,BNR,BOB,BOCH,BNR,BOB,BOCH,BNR,BOB,BOCH,BNR,BOB,BOCH
Date,,,,,,,,,,,,,,,,,,
2021-09-17 00:00:00,20.40999984741211,25.888439178466797,,20.40999984741211,26.47100067138672,,20.760000228881836,26.47100067138672,,19.43000030517578,26.399999618530273,,19.610000610351562,26.469999313354492,,1197800,900,
2021-09-20 00:00:00,19.6299991607666,25.35641098022461,,19.6299991607666,25.927000045776367,,20.239999771118164,25.927000045776367,,19.299999237060547,25.899999618530273,,19.6299991607666,25.899999618530273,,186800,200,
2021-09-21 00:00:00,20.229999542236328,25.45812225341797,,20.229999542236328,26.0310001373291,,20.3799991607666,26.0310001373291,,19.239999771118164,26.0310001373291,,19.729999542236328,26.0310001373291,,154500,100,
2021-09-22 00:00:00,20.3700008392334,25.717288970947266,,20.3700008392334,26.29599952697754,,20.489999771118164,26.29599952697754,,20.079999923706055,26.19499969482422,,20.3799991607666,26.209999084472656,,66300,1800,
2021-09-23 00:00:00,20.600000381469727,26.00579833984375,,20.600000381469727,26.590999603271484,,20.600000381469727,26.590999603271484,,20.010000228881836,26.549999237060547,,20.229999542236328,26.549999237060547,,194100,500,
2021-09-24 00:00:00,18.739999771118164,26.03807258605957,,18.739999771118164,26.624000549316406,,20.600000381469727,26.624000549316406,,18.5,26.624000549316406,,20.290000915527344,26.624000549316406,,445300,100,
2021-09-27 00:00:00,18.3799991607666,25.77303695678711,,18.3799991607666,26.35300064086914,,19.079999923706055,26.469999313354492,,17.905000686645508,26.34000015258789,,18.93000030517578,26.469999313354492,,420700,2000,
2021-09-28 00:00:00,17.3700008392334,25.005311965942383,,17.3700008392334,25.56800079345703,,18.440000534057617,26.09000015258789,,17.219999313354492,25.56800079345703,,18.31999969482422,26.09000015258789,,411700,500,
2021-09-29 00:00:00,17.510000228881836,24.94761085510254,,17.510000228881836,25.509000778198242,,17.760000228881836,25.700000762939453,,17.190000534057617,25.509000778198242,,17.5,25.700000762939453,,212100,3000,
2021-09-30 00:00:00,17.8799991607666,24.858612060546875,,17.8799991607666,25.417999267578125,,18.3700008392334,25.420000076293945,,17.584999084472656,25.417999267578125,,17.600000381469727,25.420000076293945,,207500,500,
2021-10-01 00:00:00,16.979999542236328,25.131473541259766,,16.979999542236328,25.69700050354004,,17.899999618530273,25.69700050354004,,16.5,25.59000015258789,,17.899999618530273,25.590999603271484,,105900,3100,
2021-10-04 00:00:00,15.770000457763672,24.51827049255371,,15.770000457763672,25.06999969482422,,17.239999771118164,25.2549991607666,,15.699999809265137,24.989999771118164,,16.670000076293945,25.219999313354492,,174600,4400,
2021-10-05 00:00:00,15.9399995803833,24.87328338623047,,15.9399995803833,25.433000564575195,,16.489999771118164,25.510000228881836,,15.630000114440918,25.433000564575195,,16.030000686645508,25.510000228881836,,124300,4200,
2021-10-06 00:00:00,15.930000305175781,25.03563117980957,,15.930000305175781,25.599000930786133,,16.260000228881836,25.599000930786133,,15.680000305175781,25.510000228881836,,15.8100004196167,25.510000228881836,,99600,8100,
2021-10-07 00:00:00,16.579999923706055,25.281105041503906,,16.579999923706055,25.850000381469727,,17.139999389648438,25.920000076293945,,16.200000762939453,25.829999923706055,,16.360000610351562,25.920000076293945,,152600,1400,
2021-10-08 00:00:00,16.229999542236328,25.168636322021484,,16.229999542236328,25.735000610351562,,16.69300079345703,25.735000610351562,,15.979999542236328,25.735000610351562,,16.579999923706055,25.735000610351562,,84800,100,
2021-10-11 00:00:00,16.3799991607666,25.044431686401367,,16.3799991607666,25.607999801635742,,17.329999923706055,25.607999801635742,,16.229999542236328,25.607999801635742,,16.229999542236328,25.607999801635742,,128600,200,
2021-10-12 00:00:00,16.309999465942383,24.997488021850586,,16.309999465942383,25.559999465942383,,16.579999923706055,25.559999465942383,,15.800000190734863,25.559999465942383,,16.399999618530273,25.559999465942383,,262200,100,
2021-10-13 00:00:00,16.1200008392334,25.1246280670166,,16.1200008392334,25.690000534057617,,17.014999389648438,25.729999542236328,,15.899999618530273,25.530000686645508,,16.420000076293945,25.530000686645508,,237100,6700,
